"Category","Cat_lab","Adsorbent_Name","Ads_lab","BET Surface Area","Pore Volume","Micropore Volume","Pore Diameter","Pressure","Temperature","CO2 Partial Pressure","CO2 Adsorption Capacity","Selectivity","Pattern","Rank"
"Porous_Oxide","4","AIPO4-53","154","354.868","0.07118","","0.43","1","0","1","2.451","","P1","4"
"POP","2","TRITER-1","126","716","0.32","","1.7","1","0","1","2.45","","P3","4"
"Zeolite","3","5A","132","600","","","0.42","1.0301","70","1.0301","2.4303","","P1","4"
"ZIF","1","ZIF-8_700","51","494","","0.17","","1","25","1","2.43","","P2","4"
"POP","2","PAF-26-COOK","87","430","0.2","0.19","0.48","1","0","1","2.4","","P1","4"
"MOF","1","Ni2(bpy)3(NO3)4","34","","0.166","0.113","","1","0","1","2.4","","P1","4"
"Activated_Carbon","6","CP-4-650","195","3260","2.13","1.03","","1","25","1","2.4","","P9","4"
"POP","2","TCMP-0","113","963","0.98","","","1","0","1","2.38","","P9","4"
"MOF","1","Cu-BTTri-mmen","20","870","","","","0.9","25","0.15","2.38","327","P9","4"
"Mesoporous_Silica","5","SBA-NC","181","726","","","","1","25","1","2.34","31","P2","4"
"Mesoporous_Silica","5","SBA-C-A-K","182","1068","","","","1","25","1","2.33","24","P9","4"
"POP","2","PAF-26-COOH","86","717","0.36","0.31","0.52","1","0","1","2.3","","P1","4"
"COF","2","NTU-COF-2","85","1619","0.86","","2.5","1","0","1","2.3","","P9","4"
"COF","2","TpBD-(NO2)2","119","295","","","2.2","1","0","1","2.3","","P1","4"
"Porous_Oxide","4","Mesoporou_MgO","162","250","0.53","","5.2","1","100","1","2.27","","P4","4"
"Porous_Oxide","4","SC10","171","703","1.16","0.08","9.1","1","0","1","2.26","","P6","4"
"POP","2","TCMP-3","114","691","0.36","","","1","0","1","2.25","","P1","4"
"COF","2","CTF-1-600","77","1553","","","0.54","1","25","0.999995","2.25","","P9","4"
"ZIF","1","ZIF-8_600","50","517","","0.15","","1","25","1","2.24","","P2","4"
"Porous_Oxide","4","SM10","176","968","1.46","0.1","9.5","1","15","1","2.23","","P12","4"
"Porous_Oxide","4","AIPO4-53","154","","","","","1","20","1","2.22","","P1","4"
"MOF","1","H3[(Cu4Cl)3-(BTTri)8]","23","1770","","","","1.02867","45","1.02867","2.21257","","P9","4"
"POP","2","PAF-34-OH","95","771","","","","1","0","1","2.21","","P1","4"
"Carbon_Nanotube","7","L-Type_CNT_(APTS)","228","198","0.63","","12.2","1","25","0.5","2.2","","P7","4"
"MOF","1","MIL-100_(Cr)","27","1900","1.1","","2.9","1","31","1","2.2","","P10","4"
"MOF","1","CdIF-1","12","2420","","0.86","0.62","1","0","1","2.2","","P9","4"
"MOP","2","TPP-3","125","785","0.551","0.263","","1","25","1","2.2","22.3","P2","4"
"Activated_Carbon","6","AC_from_Wood","189","1361","","","","1","30","1","2.2","","P9","4"
"Activated_Carbon","6","CP-4-700","196","3480","2.39","1.18","","1","25","1","2.2","","P9","4"
"POP","2","PAF-33","90","821","","","","1","0","1","2.16","","P1","4"
"ZIF","1","5A@ZIF-8(I)","2","379","0.23","","","0.1","25","0.1","2.15","","P2","4"
"Activated_Carbon","6","AC_from_Agricultural_Byproduct","186","588","","","","1","30","1","2.15","","P2","4"
"Zeolite","3","ITQ-2_with_3-Aminopropyl_trimethoxysilane","140","","","","","1","0","1","2.13","","P1","4"
"Porous_Oxide","4","SM20","178","567","0.67","0.09","7.92","1","0","1","2.11","","P5","4"
"MOF","1","IRMOF-1(MOF-5)","25","2304","1.01","0.86","","1","22.7","1","2.1","","P9","4"
"MOP","2","TPP-1","123","863","0.646","0.279","","1","25","1","2.1","35.6","P9","4"
"Activated_Carbon","6","CP-4-600","193","2050","1.03","0.74","","1","25","1","2.1","","P9","4"
"Activated_Carbon","6","CP-2-600","190","1700","0.88","0.74","","1","50","1","2.1","","P14","4"
"COF","2","TDCOF-5","117","2497","1.3","","2.6","1","0","1","2.1","","P9","4"
"Activated_Carbon","6","CP-4-850","198","3360","2.62","1.22","","1","25","1","2.1","","P9","4"
"Porous_Carbon","6","NS1","213","1726","0.82","0.73","","1","50","1","2.08","","P14","4"
"ZIF","1","5A@ZIF-8(III)","4","645","0.4","","","1","25","1","2.06","","P9","4"
"Carbon_Nanotube","7","CNF-1","229","1730","0.78","0.42","0.45","1","50","1","2.03","","P14","4"
"POP","2","PFPOP-3","103","530","0.3","0.16","0.73","1","25","1","2","","P2","4"
"MOF","1","Amine-MIL-101_(Cr)","6","2297","2.12","","","2","25","2","2","","P9","4"
"MOF","1","MIL-53(Al)","28","","","","0.85","1","31","1","2","","P10","4"
"MOF","1","MIL-101a","29","2800","1.37","","3.4","1","31","1","2","","P10","4"
"MOP","2","TPP-2","124","525","0.359","0.2007","","1","0","1","2","22.7","P1","4"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"High pressures","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Category","Cat_lab","Adsorbent_Name","Ads_lab","BET Surface Area","Pore Volume","Micropore Volume","Pore Diameter","Pressure","Temperature","CO2 Partial Pressure","CO2 Adsorption Capacity","Selectivity","Pattern","Rank"
"POP","2","COP-35","73","5.4","0.11","","","200","35","200","144","2","P2","1(HP)"
"POP","2","COP-33","71","53.2","0.2","","","200","35","200","133","10","P2","1(HP)"
"POP","2","COP-32","70","46","0.139","","","200","35","200","128","4","P2","1(HP)"
"POP","2","COP-35","73","5.4","0.11","","","200","50","200","128","2","P2","1(HP)"
"POP","2","COP-33","71","53.2","0.2","","","200","50","200","118","5","P2","1(HP)"
"POP","2","COP-37","75","54.2","0.19","","","200","35","200","116","5","P2","1(HP)"
"POP","2","COP-32","70","46","0.139","","","200","50","200","112","7","P2","1(HP)"
"POP","2","COP-37","75","54.2","0.19","","","200","50","200","112","7","P2","1(HP)"
"POP","2","COP-36","74","11.1","0.032","","","200","35","200","76","6","P2","1(HP)"
"POP","2","COP-36","74","11.1","0.032","","","200","50","200","68","7","P2","1(HP)"
"POP","2","COP-34","72","33.4","0.095","","","200","35","200","63","4","P2","1(HP)"
"POP","2","COP-34","72","33.4","0.095","","","200","50","200","55","4","P2","1(HP)"
"MOF","1","MOF-210","30","6240","3.6","","1","55","25","55","54.5","","P13","1(HP)"
"MOF","1","MIL-101a","29","2800","1.37","","3.4","50","31","50","40","","P13","2(HP)"
"COF","2","ILCOF-1","83","","","","","40","25","40","29.3","","P2","2(HP)"
"COF","2","COF-103","65","3530","1.54","","1.2","55","25","55","27.3","","P13","2(HP)"
"COF","2","COF-102","64","3620","1.55","","1.2","55","25","55","27","","P13","2(HP)"
"COF","2","COF-10","63","1760","1.44","","","55","25","55","23","","P13","2(HP)"
"COF","2","COF-5","66","1670","1.07","","","55","25","55","19.7","","P9","2(HP)"
"MOF","1","MIL-100_(Cr)","27","1900","1.1","","2.9","50","31","50","18","","P10","2(HP)"
"MOF","1","HKUST-1_(CuBTC)","24","1270","0.79","","","300","35","300","17.5","","P10","2(HP)"
"MOF","1","Cu2(bdcppi)(DMF)2_SNU-50","18","2300","1.08","","1.1","46","25","46","17.1","","P9","2(HP)"
"COF","2","COF-8","68","1350","0.69","","","55","25","55","14.3","","P9","2(HP)"
"MOF","1","HKUST-1_(CuBTC)","24","2211","","0.813","","40","30","40","14","","P13","2(HP)"
"MOF","1","HKUST-1_(CuBTC)","24","1571","0.79","","","15","25","15","12.7","4.1","P9","2(HP)"
"MOF","1","MOF-505","32","1547","","","","35","25","35","10.2","","P13","2(HP)"
"Activated_Carbon","6","G-32_H_AC","199","","","","","20.408163265306","25","20.408163265306","8.5","","P2","3(HP)"
"COF","2","COF-6","67","750","0.32","","","55","25","55","7.05","","P2","3(HP)"
"Zeolite","3","13X","128","","","","","20.408163265306","25","20.408163265306","5.2","","P2","3(HP)"
"Zeolite","3","4A","130","","","","","20.408163265306","25","20.408163265306","4.8","","P2","3(HP)"
"COF","2","APTES-ILCOF-1","57","","","","","37","30","37","4.02","","P2","3(HP)"
"Zeolite","3","5A","132","600","","","0.42","10.003","70","10.003","3.6446","","P1","4(HP)"
"Zeolite","3","Natural_Herschelite_-_Sodium_Chabozite","143","506.5","0.31","","4.25","20.408163265306","25","20.408163265306","2.6","1.57","P8","4(HP)"
